fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
0.551282002,0.555555561,0.237499997,1,1,1,1,0.859013914,0.341772248,0.895522397,0.153846117,0.33333334
0.5,0.177777779,0.700000003,0.321428554,0.674418607,0.8095238,0.8220339,0.687817381,0.506329054,0.626865664,0.403846154,1
0.448717998,0.488888892,0.350000001,0.285714303,1,0.35714287,0.42372882,0.677745231,0.265822652,1,0.17307696,0.33333334
0.358974371,0.522222193,0.099999998,1,0.604651197,0.11904762,0.19491525,0.738166124,0.607595082,0.253731329,0.115384615,0
0.423076935,0.222222214,0.637499988,0.321428554,1,0.3809524,0.42372882,0.687817381,0.177215142,1,0.153846117,0.6666667
0.551282002,0.11111111,0.599999987,0.321428554,0.499999995,0.6666667,0.45762712,0.677745231,0.620253297,0.298507406,0.192307619,0.6666667
0.384615372,0.299999984,0.387500003,0.499999983,0.558139561,0.52380955,0.5508475,0.818731317,0.784810102,0.477611894,0.249999963,0.33333334
0.423076935,0.344444452,0.262499992,0.250000009,0.837209288,0.21428572,0.26271185,0.657600932,0.341772248,0.865671678,0.211538462,0.33333334
0.5,0.411111122,0.137499999,0.499999983,0.581395336,0.1904762,0.5169492,0.677745231,0.341772248,0.298507406,0.192307619,0.33333334
0.294871807,0.311111118,0.175000001,0.53571432,0.593023266,0.47619048,0.2881356,0.677745231,0.67088616,0.447761176,0.249999963,0.6666667
0.217948742,0.299999984,0.199999996,0.17857142,0.5348837,0.23809524,0.1440678,0.546831294,0.556961917,0.343283573,0.17307696,0.33333334
0.384615372,0.322222218,0.299999993,0.321428554,0.5348837,0.071428575,0.042372882,0.617324338,0.481012622,0.38805965,0.211538462,0.33333334
0.423076935,0.344444452,0.262499992,0.250000009,0.837209288,0.21428572,0.26271185,0.657600932,0.341772248,0.865671678,0.211538462,0.33333334
0.320512808,0.655555532,0,0.357142849,0.5348837,0.30952382,0.2457627,0.718027827,0.721519024,0.328358214,0.192307619,0.33333334
0.410256435,0.583333312,0,0.392857143,0.558139561,0.16666667,0.084745765,0.637462635,0.607595082,0.38805965,0.269230806,0.6666667
0.269230745,0.61666668,0.0875,0.53571432,0.639534902,0.3809524,0.6440678,0.577041741,0.569620132,0.313432854,0.32692315,0.33333334
0.294871807,0.62777778,0,0.571428571,0.825581357,0.5,0.26271185,0.657600932,0.708860808,0.358208932,0.423076996,0.6666667
0.474358999,0.594444413,0.149999997,0.499999983,0.569767405,0.33333334,0.90677965,0.657600932,0.341772248,0.492537343,0.269230806,0.33333334
0.294871807,0.53888891,0.149999997,1,0.45348836,0.9285714,0.65254235,0.929506957,0.696202592,0.283582047,0.192307619,0.6666667
0.076923052,0.222222214,0.3125,0.321428554,0.802325583,0.2857143,0.37288135,0.566969591,0.607595082,0.328358214,0.153846117,0.33333334
0.410256435,0.583333312,0,1,0.604651197,0.0952381,0.10169491,0.859013914,0.632911513,0.328358214,0.230769304,0.6666667
0.410256435,0.53333336,0.175000001,0.53571432,0.604651197,0.04761905,0.076271184,0.748238274,0.658227945,0.402985099,0.461538498,0.6666667
0.448717998,0.288888884,0.350000001,0.428571395,0.372093019,0.2857143,0.20338982,0.677745231,0.417721543,0.597014946,0.249999963,1
0.141025617,1,0.112500004,0.214285714,1,0.14285715,0.11016949,0.395773059,0.759493671,0.223880566,0.269230806,0
0.346153871,0.366666653,0.450000018,1,0.46511629,0.26190478,0.6864407,0.778448721,0.544303701,0.746268627,0.403846154,0.33333334
0.346153871,0.366666653,0.450000018,1,0.46511629,0.26190478,0.6864407,0.778448721,0.544303701,0.746268627,0.403846154,0.33333334
0.538461563,0.54444446,0.375000015,0.678571412,0.627906971,0.3809524,0.33898306,0.758310424,0.45569619,0.268656688,0.17307696,0
0.371794872,0.411111122,0.250000004,0.607142823,1,0.16666667,0.06779661,0.677745231,0.392405112,0.85074623,0.403846154,0.6666667
0.448717998,0.600000029,0.274999999,0.464285731,0.406976724,0.1904762,0.1440678,0.677745231,0.506329054,1,0.365384652,0.33333334
0.282051307,0.61111113,0.024999999,0.321428554,0.18604652,0.0952381,0.042372882,0.617324338,0.734177239,0.283582047,0.211538462,0.33333334
0,0.444444423,0.187500007,0.428571395,0.232558156,0.16666667,0.5,0.335346163,1,0.343283573,0.903846227,0
0.397435873,0.905555558,0.537500009,0.464285731,0.930232559,0.5,0.91525424,0.697883528,0.443037975,0.597014946,0.153846117,0.33333334
0.525641001,0.18888888,0.649999976,0.250000009,0.918604628,0.26190478,0.26271185,0.687817381,0.443037975,0.373134291,0.211538462,0.33333334
0.230769243,0.311111118,0.287500005,0.250000009,0.372093019,0.0952381,0.050847456,0.577041741,0.556961917,0.343283573,0.153846117,0.33333334
0.128205116,0.211111114,0.462500006,0.17857142,0.46511629,0.26190478,0.7627119,0.536759145,0.531645485,0.373134291,0.153846117,0.33333334
0.538461563,0.600000029,0.324999988,0.285714303,0.46511629,0.071428575,0.1440678,0.707955678,0.316455817,0.611940305,0.153846117,0.33333334
0.256410244,0.444444423,0.049999999,0.464285731,0.406976724,0.16666667,0.076271184,0.556897442,0.632911513,0.447761176,0.192307619,0.6666667
0.256410244,0.422222222,0.049999999,0.428571395,0.39534888,0.11904762,0.06779661,0.546831294,0.620253297,0.462686535,0.192307619,0.6666667
0.512820562,0.288888884,0.450000018,0.75,0.546511631,0.6904762,0.9576271,0.697883528,0.379746896,0.343283573,0.192307619,0.33333334
0.384615372,0.433333323,0.187500007,0.678571412,0.883720923,0.7619048,0.5677966,0.546831294,0.341772248,0.447761176,0.346153809,0.6666667
0.397435873,0.555555561,0.049999999,1,0.581395336,0.5714286,0.33050847,0.778448721,0.556961917,0.298507406,0.211538462,0.33333334
0.717948693,0.333333319,0.712499991,0.892857177,0.418604655,0.071428575,0.033898305,0.707955678,0.177215142,0.447761176,0.230769304,0.33333334
0.371794872,0.566666661,0.149999997,1,0.895348854,1,0.88135594,0.828803467,0.45569619,0.656716383,0.192307619,0.33333334
0.410256435,0.522222193,0.225000009,0.499999983,0.488372065,0.3809524,0.40677965,0.748238274,0.67088616,0.38805965,0.307692308,0.33333334
0.346153871,0.299999984,0.387500003,0.53571432,0.46511629,0.1904762,0.33898306,0.617324338,0.645569729,0.313432854,0.192307619,0.6666667
0.538461563,0.311111118,0.500000007,0.464285731,0.523255856,0.42857143,0.3898305,0.79859302,0.683544376,0.462686535,0.153846117,0.33333334
0.397435873,0.633333331,0.612500012,0.321428554,0.941860489,0.45238096,0.89830506,0.677745231,0.392405112,0.567164139,0.17307696,0.33333334
0.371794872,0.444444423,0.199999996,0.357142849,0.593023266,0.26190478,0.2457627,0.677745231,0.607595082,0.432835817,0.211538462,1
0.307692308,0.683333349,0.062500001,0.392857143,0.546511631,0.2857143,0.40677965,0.657600932,0.620253297,0.358208932,0.269230806,0.33333334
0.333333309,0.672222249,0.062500001,1,0.604651197,0.071428575,0.042372882,0.617324338,0.645569729,0.0895522,0.480769157,0.33333334
0.333333309,0.672222249,0.062500001,1,0.604651197,0.071428575,0.042372882,0.617324338,0.645569729,0.0895522,0.480769157,0.33333334
0.371794872,0.444444423,0.137499999,0.214285714,0.523255856,0.23809524,0.27966103,0.677745231,0.658227945,0.373134291,0.230769304,0.33333334
0.256410244,0.649999981,0.0875,0.250000009,0.488372065,0.11904762,0.076271184,0.617324338,0.683544376,0.373134291,0.442307656,0.33333334
0.602564127,0.222222214,0.712499991,0.392857143,0.46511629,0.61904764,0.5,0.687817381,0.481012622,0.68656719,0.442307656,0.33333334
0.435897436,0.649999981,0.062500001,0.357142849,0.46511629,0.16666667,0.11016949,0.617324338,0.556961917,0.925373115,0.403846154,0.6666667
0.397435873,0.566666661,0.099999998,0.357142849,0.488372065,0.33333334,0.1779661,0.667673081,0.531645485,0.313432854,0.211538462,0.6666667
0.397435873,0.61111113,0.287500005,0.428571395,0.627906971,0.3809524,0.7627119,0.617324338,0.531645485,0.223880566,0.211538462,0.33333334
0.397435873,0.633333331,0.274999999,0.357142849,0.581395336,0.4047619,0.7457627,0.607252188,0.518987269,0.223880566,0.211538462,0.33333334
0.474358999,0.61666668,0.324999988,0.428571395,0.581395336,0.23809524,0.31355932,0.758310424,0.518987269,0.298507406,0.153846117,0
0.653846129,0.222222214,0.675000027,0.571428571,0.697674381,0.64285713,0.65254235,0.838869614,0.481012622,0.731343268,0.230769304,0.33333334
0.538461563,0.322222218,0.799999982,0.464285731,0.686046537,0.1904762,0.30508474,0.859013914,0.810126534,0.492537343,0.403846154,0.33333334
0.538461563,0.322222218,0.799999982,0.464285731,0.686046537,0.1904762,0.30508474,0.859013914,0.810126534,0.492537343,0.403846154,0.33333334
0.282051307,0.738888918,0,0.53571432,0.813953513,0.30952382,0.20338982,0.657600932,0.784810102,0.328358214,0.442307656,0.6666667
0.269230745,0.7,0.149999997,0.392857143,0.604651197,0.26190478,0.62711865,0.577041741,0.607595082,0.283582047,0.32692315,0.33333334
0.474358999,0.561111111,0.250000004,0.214285714,0.5348837,0.61904764,0.9576271,0.718027827,0.329114033,1,0.134615458,0
0.205128181,0.366666653,0.250000004,0.250000009,0.406976724,0.04761905,0.076271184,0.577041741,0.645569729,0.343283573,0.153846117,0.33333334
0.410256435,0.344444452,0.874999985,0.357142849,1,0.5,0.5169492,0.738166124,0.291139385,1,0.192307619,0.33333334
0.358974371,0.422222222,0.587499999,0.392857143,0.604651197,0.47619048,0.5677966,0.697883528,0.582278348,0.358208932,0.134615458,0.33333334
0.346153871,0.61111113,0.324999988,0.321428554,1,0.35714287,0.38135594,0.687817381,0.329114033,1,0.192307619,0.33333334
0.217948742,0.200000013,0.599999987,0.321428554,0.406976724,0.4047619,0.4661017,0.587107888,0.683544376,0.671641742,0.365384652,0.6666667
0.294871807,0.477777791,0.187500007,0.464285731,0.488372065,0.42857143,0.2881356,0.607252188,0.645569729,0.38805965,0.32692315,0.33333334
0.512820562,0.411111122,0.350000001,0.357142849,0.883720923,0.45238096,1,0.718027827,0.037974768,1,0.288461465,0.6666667
0.397435873,0.411111122,0.324999988,0.357142849,0.325581384,0.1904762,0.21186441,0.657600932,0.620253297,0.462686535,0.230769304,0.33333334
0.602564127,0.299999984,0.549999997,0.428571395,0.848837218,0.78571427,1,0.778448721,0.303797601,1,0.211538462,0.33333334
0.307692308,0.555555561,0.099999998,0.321428554,0.488372065,0.16666667,0.15254237,0.778448721,0.734177239,0.298507406,0.115384615,0.33333334
0.423076935,0.444444423,0.324999988,0.357142849,0.523255856,0.97619045,1,0.637462635,0.417721543,0.313432854,0.211538462,0.33333334
0.512820562,0.411111122,0.350000001,0.357142849,0.883720923,0.45238096,1,0.718027827,0.037974768,1,0.288461465,0.6666667
0.512820562,0.411111122,0.36249999,0.392857143,0.883720923,0.42857143,1,0.718027827,0.037974768,1,0.269230806,0.33333334
0.397435873,0.411111122,0.324999988,0.357142849,0.325581384,0.1904762,0.21186441,0.657600932,0.620253297,0.462686535,0.230769304,0.33333334
0.051282051,0.999999979,0.049999999,0.17857142,0.127906998,0.95238096,0.6694915,0.375628759,1,0.223880566,0.403846154,0
0.012820488,0.53333336,0.212500002,0.499999983,0.279069748,0.3809524,0.84745765,0.315207866,1,0.402985099,0.865384542,0.6666667
0.282051307,0.727777751,0,0.75,0.790697652,0.16666667,0.1440678,0.647534784,0.696202592,0.343283573,0.442307656,0.33333334
0.307692308,0.422222222,0.3125,0.392857143,0.418604655,0.04761905,0.13559322,0.627390485,0.443037975,0.447761176,0.153846117,0.33333334
0.384615372,0.86666664,0.074999998,0.571428571,0.523255856,0.0952381,0.033898305,0.667673081,0.620253297,0.343283573,0.269230806,0.33333334
0.448717998,0.472222241,0.225000009,0.357142849,0.5348837,0.2857143,0.2457627,0.718027827,0.506329054,0.38805965,0.115384615,0.6666667
0.474358999,0.54444446,0.375000015,0.428571395,0.581395336,0.23809524,0.37288135,0.718027827,0.632911513,0.417910458,0.346153809,0.6666667
0.410256435,0.422222222,0.375000015,0.357142849,0.476744221,0.16666667,0.13559322,0.587107888,0.518987269,0.343283573,0.384615311,0.6666667
0.448717998,0.472222241,0.225000009,0.357142849,0.5348837,0.2857143,0.2457627,0.718027827,0.506329054,0.38805965,0.115384615,0.6666667
0.448717998,0.505555542,0.274999999,0.428571395,0.499999995,0.26190478,0.5,0.667673081,0.493670838,0.268656688,0.153846117,0.33333334
0.333333309,0.411111122,0.299999993,0.464285731,0.418604655,0.0952381,0.2542373,0.597180038,0.544303701,0.223880566,0.192307619,0.33333334
0.448717998,0.505555542,0.274999999,0.428571395,0.499999995,0.26190478,0.5,0.667673081,0.493670838,0.268656688,0.153846117,0.33333334
0.410256435,0.322222218,0.850000009,0.285714303,1,0.4047619,0.5338983,0.728099977,0.227848005,1,0.17307696,0.33333334
0.205128181,0.566666661,0.387500003,0.285714303,0.627906971,0.33333334,0.4915254,0.687817381,0.708860808,0.68656719,0.17307696,0.33333334
0.435897436,0.233333348,0.662499964,0.571428571,0.662790676,0.4047619,0.62711865,0.758310424,0.594936564,0.701492549,0.230769304,0.6666667
0.448717998,0.738888918,0.649999976,0.392857143,1,0.85714287,1,0.687817381,0.392405112,0.53731342,0.17307696,0.33333334
0.410256435,0.488888892,0.237499997,0.321428554,0.813953513,0.26190478,0.34745762,0.637462635,0.36708868,0.895522397,0.211538462,0.33333334
0.487179438,0.555555561,0.112500004,0.464285731,0.581395336,0.23809524,0.86440676,0.637462635,0.316455817,0.492537343,0.269230806,0.33333334
0.487179438,0.53333336,0.125000002,0.464285731,0.593023266,0.30952382,0.8898305,0.637462635,0.316455817,0.492537343,0.269230806,0.33333334
0.705128254,0.211111114,0.549999997,0.499999983,0.5348837,0.5,0.33898306,0.879152211,0.531645485,0.507462702,0.249999963,0.6666667
0.410256435,0.488888892,0.237499997,0.321428554,0.813953513,0.26190478,0.34745762,0.637462635,0.36708868,0.895522397,0.211538462,0.33333334
0.615384566,0.311111118,0.387500003,0.464285731,0.651162832,0.2857143,0.47457626,0.657600932,0.215189789,0.447761176,0.403846154,0.6666667
0.474358999,0.466666691,0.350000001,0.357142849,0.499999995,0.23809524,0.2881356,0.778448721,0.620253297,0.417910458,0.307692308,0.6666667
0.410256435,0.488888892,0.149999997,0.392857143,0.558139561,0.14285715,0.18644068,0.697883528,0.594936564,0.253731329,0.192307619,0.6666667
0.538461563,0.477777791,0.049999999,0.464285731,0.988372125,0.30952382,0.42372882,0.617324338,0.392405112,0.402985099,0.480769157,0.6666667
0.307692308,0.633333331,0.099999998,0.321428554,0.732558173,0.5,0.7033898,0.587107888,0.556961917,0.313432854,0.153846117,0.6666667
0.346153871,1,0.112500004,0.285714303,1,0.21428572,0.7033898,0.617324338,0.506329054,0.358208932,0.115384615,0.33333334
0.538461563,0.477777791,0.049999999,0.464285731,0.988372125,0.30952382,0.42372882,0.617324338,0.392405112,0.402985099,0.480769157,0.6666667
0.346153871,0.638888881,0,0.571428571,0.476744221,0.04761905,0.059322033,0.79859302,0.746835455,0.283582047,0.153846117,0.33333334
0.435897436,0.655555532,0,0.607142823,0.5348837,0.23809524,0.23728813,0.758310424,0.683544376,0.298507406,0.211538462,0.33333334
0.410256435,0.422222222,0.212500002,0.250000009,0.558139561,0.47619048,0.8135593,0.597180038,0.620253297,0.223880566,0.211538462,0.33333334
0.564102564,0.555555561,0.049999999,0.357142849,1,0.61904764,0.7118644,0.838869614,0.329114033,0.552238779,0.192307619,0.33333334
0.461538437,1,0,0.285714303,0.546511631,0.04761905,0.050847456,0.637462635,0.797468318,0.238805969,0.480769157,0.33333334
0.448717998,1,0,0.321428554,0.558139561,0.04761905,0.050847456,0.637462635,0.810126534,0.223880566,0.480769157,0.33333334
0.435897436,0.522222193,0.199999996,0.321428554,0.360465089,0.04761905,0.084745765,0.617324338,0.658227945,0.880597037,0.403846154,1
0.19230768,0.288888884,0.187500007,0.321428554,0.441860429,0.11904762,0.11016949,0.546831294,0.658227945,0.358208932,0.192307619,0.33333334
0.435897436,0.69444445,0.700000003,0.392857143,0.976744194,0.6904762,1,0.677745231,0.430379759,0.492537343,0.192307619,0.33333334
0.128205116,0.422222222,0.112500004,0.499999983,0.17441859,0.3809524,0.7881356,0.365562612,0.924050778,0.447761176,0.884615385,0.33333334
0.128205116,0.422222222,0.112500004,0.499999983,0.17441859,0.3809524,0.7881356,0.365562612,0.924050778,0.447761176,0.884615385,0.33333334
0.256410244,0.422222222,0.0125,0.214285714,0.302325566,0.3809524,0.16949153,0.516614845,0.632911513,0.373134291,0.269230806,0.6666667
0.423076935,1,0.062500001,0.464285731,0.581395336,0.2857143,0.19491525,0.587107888,0.405063327,0.328358214,0.288461465,0.6666667
0.487179438,0.69444445,0.137499999,0.357142849,0.651162832,0.35714287,0.48305085,0.647534784,0.36708868,0.731343268,0.230769304,0.33333334
0.474358999,0.661111082,0.187500007,0.321428554,0.639534902,0.21428572,0.3898305,0.677745231,0.417721543,0.656716383,0.211538462,0.33333334
0.333333309,0.327777769,0.450000018,0.392857143,0.546511631,0.2857143,0.33050847,0.718027827,0.734177239,0.462686535,0.153846117,0.33333334
0.410256435,0.488888892,0.237499997,0.428571395,0.546511631,0.33333334,0.83898306,0.617324338,0.544303701,0.313432854,0.211538462,0.33333334
0.410256435,0.488888892,0.237499997,0.392857143,0.546511631,0.3809524,0.86440676,0.617324338,0.531645485,0.313432854,0.211538462,0.33333334
0.487179438,0.69444445,0.137499999,0.357142849,0.651162832,0.35714287,0.48305085,0.647534784,0.36708868,0.731343268,0.230769304,0.33333334
0.474358999,0.661111082,0.187500007,0.321428554,0.639534902,0.21428572,0.3898305,0.677745231,0.417721543,0.656716383,0.211538462,0.33333334
0.076923052,0.244444448,0,0.321428554,0.18604652,0.61904764,0.48305085,0.15407748,0.987341857,0.68656719,1,0.6666667
0.217948742,0.299999984,0.099999998,0.285714303,0.372093019,0.04761905,0.118644066,0.536759145,0.556961917,0.373134291,0.192307619,0.33333334
0.076923052,0.244444448,0,0.321428554,0.18604652,0.61904764,0.48305085,0.15407748,0.987341857,0.68656719,1,0.6666667
0.448717998,0.61111113,0.687500015,0.321428554,0.965116264,0.7380952,1,0.677745231,0.341772248,0.432835817,0.192307619,0.33333334
0.153846178,0.62222223,0.024999999,0.321428554,0.616279041,0.47619048,0.7457627,0.436055655,0.810126534,0.283582047,0.307692308,0.33333334
0.384615372,0.411111122,0.324999988,0.250000009,1,0.21428572,0.69491524,0.677745231,0.265822652,0.701492549,0.17307696,0.33333334
0.294871807,0.411111122,0.125000002,0.499999983,0.46511629,0.26190478,0.20338982,0.587107888,0.658227945,0.373134291,0.346153809,0.6666667
0.461538437,0.311111118,0.549999997,0.678571412,0.639534902,0.23809524,0.31355932,0.748238274,0.797468318,0.417910458,0.403846154,0.6666667
0.346153871,0.233333348,0.587499999,0.428571395,0.499999995,0.0952381,0.042372882,0.577041741,0.544303701,0.298507406,0.365384652,0.6666667
0.589743565,0.444444423,1,0.892857177,1,0.7380952,0.5338983,0.959717404,0,1,0.192307619,0
0.371794872,0.53333336,0.037499999,0.321428554,0.709302312,0.5714286,0.7881356,0.496476548,0.569620132,0.313432854,0.32692315,0.33333334
0.371794872,0.53333336,0.037499999,0.321428554,0.709302312,0.5714286,0.7881356,0.496476548,0.569620132,0.313432854,0.32692315,0.33333334
0.320512808,0.344444452,0.524999984,1,0.418604655,0.6666667,1,0.728099977,0.658227945,0.582089587,0.403846154,0.33333334
0.320512808,0.344444452,0.524999984,1,0.430232585,0.64285713,1,0.728099977,0.658227945,0.567164139,0.403846154,0.33333334
0.320512808,0.344444452,0.524999984,1,0.418604655,0.6666667,1,0.728099977,0.658227945,0.582089587,0.403846154,0.33333334
0.320512808,0.344444452,0.524999984,1,0.430232585,0.64285713,1,0.728099977,0.658227945,0.567164139,0.403846154,0.33333334
0.320512808,0.62222223,0,0.464285731,0.45348836,0.26190478,0.13559322,0.687817381,0.734177239,0.253731329,0.17307696,0.33333334
0.282051307,0.53333336,0.225000009,0.357142849,0.523255856,0.4047619,0.6779661,0.677745231,0.873417613,0.358208932,0.17307696,0.6666667
0.384615372,0.922222209,0.037499999,0.392857143,0.651162832,0.14285715,0.118644066,0.587107888,0.379746896,0.343283573,0.230769304,0.33333334
0.384615372,0.62222223,0.024999999,0.142857126,0.441860429,0.1904762,0.118644066,0.647534784,0.341772248,1,0.153846117,0
0.410256435,0.455555524,0.049999999,0.285714303,0.488372065,0.3809524,0.21186441,0.637462635,0.544303701,0.343283573,0.307692308,0.6666667
0.358974371,0.53333336,0.324999988,1,0.418604655,0.8333333,0.9745763,0.818731317,0.594936564,0.238805969,0.192307619,0.33333334
0.346153871,0.522222193,0.324999988,1,0.418604655,0.8095238,0.9745763,0.808659168,0.594936564,0.238805969,0.192307619,0.33333334
0.410256435,0.566666661,0.599999987,0.285714303,0.767441878,0.30952382,0.7627119,0.607252188,0.36708868,0.432835817,0.211538462,0.33333334
0.282051307,0.577777762,0.125000002,0.428571395,0.593023266,0.4047619,0.80508476,0.556897442,0.556961917,0.283582047,0.346153809,0.33333334
0.346153871,0.477777791,0.037499999,0.250000009,0.441860429,0.3809524,0.30508474,0.556897442,0.594936564,0.223880566,0.115384615,0
0.282051307,0.566666661,0.0875,0.428571395,0.639534902,0.23809524,0.3220339,0.526686995,0.721519024,0.328358214,0.384615311,0.6666667
0.371794872,0.649999981,0.299999993,0.321428554,1,0.33333334,0.48305085,0.637462635,0.126582278,1,0.211538462,0.33333334
0.423076935,0.849999989,0.037499999,0.321428554,0.279069748,0.071428575,0.016949153,0.718027827,0.582278348,0,0.134615458,0
0.435897436,0.333333319,0.212500002,0.392857143,0.45348836,0.11904762,0.10169491,0.718027827,0.493670838,0.417910458,0.153846117,0.6666667
0.435897436,0.333333319,0.212500002,0.392857143,0.45348836,0.11904762,0.10169491,0.718027827,0.493670838,0.417910458,0.153846117,0.6666667
0.358974371,0.555555561,0.062500001,0.357142849,0.39534888,0.54761904,0.30508474,0.607252188,0.658227945,0.358208932,0.596153846,0.6666667
0.346153871,0.288888884,0.262499992,0.392857143,0.5348837,0.14285715,0.2457627,0.607252188,0.544303701,0.208955207,0.211538462,0.33333334
0.294871807,0.422222222,0.049999999,0.214285714,0.593023266,0.42857143,0.3644068,0.577041741,0.569620132,0.671641742,0.211538462,0.33333334
0.346153871,0.288888884,0.262499992,0.392857143,0.5348837,0.14285715,0.2457627,0.607252188,0.544303701,0.208955207,0.211538462,0.33333334
0.371794872,0.444444423,0.524999984,0.499999983,0.616279041,0.16666667,0.27118644,0.718027827,0.860759397,0.417910458,0.403846154,0.6666667
0.307692308,0.761111119,0,0.571428571,0.39534888,0.14285715,0.118644066,0.687817381,0.734177239,0.343283573,0.230769304,0.33333334
0.538461563,0.54444446,0.175000001,0.53571432,0.38372095,0.21428572,0.30508474,0.687817381,0.36708868,0.38805965,0.211538462,0.33333334
0.538461563,0.54444446,0.175000001,0.53571432,0.38372095,0.21428572,0.30508474,0.687817381,0.36708868,0.38805965,0.211538462,0.33333334
0.551282002,0.54444446,0.612500012,0.392857143,1,0.52380955,0.88135594,0.718027827,0.278480868,1,0.17307696,0.33333334
0.333333309,0.677777799,0.024999999,0.571428571,0.488372065,0.35714287,0.30508474,0.718027827,0.683544376,0.283582047,0.17307696,0.33333334
0.282051307,0.54444446,0.250000004,0.321428554,0.499999995,0.23809524,0.5,0.707955678,0.810126534,0.373134291,0.17307696,0.33333334
0.269230745,0.555555561,0.262499992,0.357142849,0.523255856,0.16666667,0.47457626,0.697883528,0.784810102,0.373134291,0.17307696,0.6666667
0.551282002,0.211111114,0.712499991,0.392857143,0.895348854,0.5952381,0.6694915,0.707955678,0.45569619,0.298507406,0.249999963,0.33333334
0.358974371,0.299999984,0.599999987,0.392857143,0.558139561,0.30952382,0.5169492,0.718027827,0.556961917,0.328358214,0.153846117,0.33333334
0.397435873,0.649999981,0.125000002,0.607142823,0.581395336,0.1904762,0.16949153,0.758310424,0.620253297,0.238805969,0.249999963,0.33333334
0.423076935,0.422222222,0.412500016,0.392857143,0.581395336,0.33333334,1,0.677745231,0.379746896,0.328358214,0.211538462,0.33333334
0.423076935,0.411111122,0.399999991,0.357142849,0.558139561,0.3809524,1,0.677745231,0.379746896,0.328358214,0.211538462,0.33333334
0.461538437,0.422222222,0.437499993,0.714285748,0.499999995,0.47619048,1,0.758310424,0.417721543,0.432835817,0.192307619,0.33333334
0.230769243,0.277777783,0.3125,0.357142849,0.46511629,0.47619048,0.3644068,0.738166124,0.848101181,0.432835817,0.269230806,0.6666667
0.282051307,0.566666661,0.149999997,1,0.755813947,0.35714287,1,0.687817381,0.481012622,0.417910458,0.211538462,0.33333334
0.384615372,0.477777791,0.262499992,0.464285731,0.430232585,0.14285715,0.18644068,0.637462635,0.481012622,0.328358214,0.249999963,0.33333334
0.384615372,0.477777791,0.262499992,0.464285731,0.430232585,0.14285715,0.18644068,0.637462635,0.481012622,0.328358214,0.249999963,0.33333334
0.410256435,0.522222193,0.412500016,0.392857143,0.46511629,0.54761904,0.9661017,0.677745231,0.443037975,0.313432854,0.192307619,0.33333334
0.346153871,0.511111093,0.375000015,0.53571432,0.46511629,0.33333334,0.41525424,0.677745231,0.708860808,0.38805965,0.346153809,0.33333334
0.884615385,0.200000013,0.75000003,0.392857143,0.38372095,0.26190478,0.1779661,0.808659168,0.265822652,0.955223922,0.32692315,0.6666667
0.102564115,0.794444421,0.099999998,0.107142874,0.139534885,0.2857143,0.7372881,0.234642673,0.848101181,0.776119434,0.884615385,1
